n,col1,col2,col3,col4
1,56,952,0,0
2,128,787,751,0
3,139,503,0,0
4,160,362,0,0
5,173,723,0,0
6,280,897,0,0
7,283,167,243,0
8,344,121,130,0
9,345,206,490,0
10,407,525,176,0
11,491,278,0,0
12,540,10,394,0
13,549,474,0,0
14,626,617,78,0
15,742,765,0,0
16,825,527,0,0
17,845,340,806,0
18,871,610,721,0
19,878,657,663,0
20,887,234,0,0
21,916,337,213,0
22,1000,732,589,0
23,247,299,793,0
24,140,419,647,0
25,303,813,852,0
26,149,314,374,0
27,53,392,817,0
28,341,411,690,0
29,37,148,469,0
30,197,252,536,0
31,349,472,860,0
32,102,475,990,0
33,600,608,986,0
34,41,123,885,0
35,285,448,840,0
36,641,691,898,0
37,303,415,944,0
38,75,662,975,0
39,157,416,928,0
40,313,366,988,0
41,515,761,777,0
42,408,894,936,0
43,245,320,809,0
44,23,238,0,0
45,204,388,939,0
46,90,493,839,0
47,178,186,231,0
48,200,572,979,0
49,319,567,683,0
50,282,481,920,0
51,535,543,120,0
52,381,585,733,0
53,257,635,756,0
54,460,583,0,0
55,306,351,0,0
56,193,445,0,0
57,310,541,0,0
58,86,693,0,0
59,586,999,0,0
60,450,893,0,0
61,256,588,768,0
62,162,886,0,0
63,804,864,0,0
64,720,838,0,0
65,211,409,882,0
66,55,146,0,0
67,566,678,0,0
68,382,709,0,0
69,396,739,0,0
70,380,673,0,0
71,38,881,0,0
72,248,625,0,0
73,172,542,0,0
74,836,890,0,0
75,227,500,734,0
76,568,815,0,0
77,520,957,0,0
78,158,305,0,0
79,184,630,0,0
80,857,942,0,0
81,770,812,0,0
82,214,468,655,0
83,33,147,0,0
84,652,706,0,0
85,461,650,0,0
86,364,791,0,0
87,722,764,962,0
88,28,930,0,0
89,660,801,0,0
90,273,330,0,0
91,317,764,903,0
92,233,895,998,0
93,335,880,0,0
94,633,685,0,0
95,629,875,0,0
96,240,348,0,0
97,241,883,943,0
98,444,907,0,0
99,5,997,0,0
100,264,774,0,0
101,888,912,0,0
102,421,423,0,0
103,19,405,0,0
104,539,744,0,0
105,767,967,0,0
106,80,769,0,0
107,223,587,0,0
108,263,910,0,0
109,212,603,0,0
110,560,712,0,0
111,856,937,0,0
112,439,463,523,0
113,9,199,790,0
114,73,281,315,0
115,22,521,0,0
116,27,668,0,0
117,136,312,0,0
118,558,757,789,0
119,70,479,0,0
120,551,831,0,0
121,57,279,924,0
122,45,799,0,0
123,684,951,0,0
124,117,496,803,0
125,142,400,0,0
126,295,538,0,0
127,260,674,0,0
128,383,785,0,0
129,329,779,0,0
130,62,687,884,0
131,512,612,0,0
132,455,929,0,0
133,165,357,0,0
134,606,877,0,0
135,456,688,0,0
136,207,504,0,0
137,21,353,0,0
138,185,296,900,0
139,477,832,0,0
140,107,522,0,0
141,66,287,446,0
142,371,772,0,0
143,949,993,0,0
144,452,548,0,0
145,44,501,981,0
146,183,370,375,0
147,253,487,0,0
148,424,947,0,0
149,98,666,996,0
150,118,533,802,0
151,17,987,0,0
152,164,797,0,0
153,174,609,0,0
154,321,848,0,0
155,180,794,879,0
156,87,222,373,0
157,144,465,653,0
158,96,763,0,0
159,265,628,0,0
160,615,828,0,0
161,484,710,965,0
162,698,795,0,0
163,104,513,632,0
164,127,624,0,0
165,77,517,935,0
166,58,584,798,0
167,181,846,0,0
168,97,239,467,0
169,378,866,0,0
170,602,931,0,0
171,145,598,925,0
172,483,620,0,0
173,850,961,0,0
174,307,786,0,0
175,202,656,938,0
176,115,311,434,0
177,418,807,0,0
178,15,435,0,0
179,30,393,0,0
180,208,495,0,0
181,254,413,0,0
182,20,745,0,0
183,155,412,480,0
184,94,327,0,0
185,230,611,0,0
186,244,365,565,0
187,32,138,0,0
188,72,426,0,0
189,46,818,0,0
190,325,410,0,0
191,236,562,671,0
192,150,377,518,0
193,246,867,0,0
194,582,844,0,0
195,457,595,0,0
196,492,644,0,0
197,292,908,0,0
198,694,970,0,0
199,105,338,0,0
200,954,963,0,0
201,76,464,0,0
202,874,914,0,0
203,575,977,0,0
204,88,619,0,0
205,249,441,537,0
206,11,498,940,0
207,151,394,731,0
208,110,331,0,0
209,47,546,550,0
210,580,788,0,0
211,170,821,0,0
212,645,784,0,0
213,108,288,853,0
214,71,676,0,0
215,316,672,0,0
216,843,992,0,0
217,111,141,432,0
218,224,309,0,0
219,334,727,0,0
220,36,805,0,0
221,189,531,640,0
222,93,703,0,0
223,544,827,0,0
224,137,276,0,0
225,29,552,0,0
226,99,661,0,0
227,129,607,665,0
228,61,187,402,0
229,494,526,0,0
230,318,759,0,0
231,122,738,0,0
232,293,301,356,0
233,861,868,0,0
234,59,114,0,0
235,819,971,0,0
236,379,636,0,0
237,352,870,0,0
238,43,453,613,0
239,218,984,0,0
240,323,771,792,0
241,332,571,972,0
242,259,505,639,0
243,169,682,0,0
244,134,711,851,0
245,67,179,387,0
246,596,692,960,0
247,758,775,0,0
248,12,395,916,0
249,81,363,0,0
250,277,442,0,0
251,31,391,0,0
252,271,719,0,0
253,308,708,0,0
254,440,547,891,0
255,52,705,869,0
256,49,917,0,0
257,266,854,0,0
258,221,953,0,0
259,447,782,0,0
260,397,749,950,0
261,34,294,754,0
262,7,161,622,0
263,470,901,0,0
264,507,604,0,0
265,623,991,0,0
266,14,696,794,0
267,125,752,808,0
268,680,873,0,0
269,302,578,0,0
270,646,982,0,0
271,384,697,956,0
272,195,404,0,0
273,427,642,976,0
274,372,417,0,0
275,205,695,0,0
276,163,858,995,0
277,242,670,0,0
278,298,945,978,0
279,232,322,0,0
280,403,728,0,0
281,109,116,237,0
282,83,84,168,0
283,324,862,0,0
284,718,927,0,0
285,275,532,0,0
286,443,473,0,0
287,760,934,0,0
288,51,68,0,0
289,35,747,0,0
290,182,556,638,0
291,459,863,905,0
292,530,714,989,0
293,554,631,0,0
294,476,576,0,0
295,514,614,667,0
296,101,497,545,0
297,420,489,564,0
298,100,959,0,0
299,368,597,0,0
300,216,707,0,0
301,428,634,896,0
302,255,485,0,0
303,347,577,824,0
304,350,592,627,0
305,39,297,601,0
306,63,209,269,0
307,510,643,892,0
308,593,872,964,0
309,65,704,0,0
310,203,699,932,0
311,466,780,0,0
312,258,488,736,0
313,2,730,994,0
314,262,289,0,0
315,13,980,0,0
316,166,528,0,0
317,225,235,918,0
318,175,810,946,0
319,333,715,776,0
320,131,519,0,0
321,135,508,0,0
322,834,904,906,0
323,816,923,0,0
324,766,820,0,0
325,74,735,0,0
326,716,729,778,0
327,153,664,830,0
328,126,913,0,0
329,113,119,430,0
330,389,599,0,0
331,386,414,740,0
332,267,359,724,0
333,26,124,948,0
334,8,594,637,0
335,16,966,0,0
336,651,717,0,0
337,342,855,0,0
338,376,478,0,0
339,89,502,985,0
340,590,621,0,0
341,401,743,800,0
342,25,616,0,0
343,290,291,360,0
344,361,689,837,0
345,328,748,773,0
346,4,406,0,0
347,251,762,919,0
348,112,814,889,0
349,326,346,429,0
350,171,677,681,0
351,509,553,0,0
352,268,422,679,0
353,358,829,902,0
354,42,451,701,0
355,91,284,354,0
356,133,194,0,0
357,573,581,974,0
358,1,159,398,0
359,482,675,933,0
360,210,458,726,0
361,103,143,751,0
362,40,579,605,0
363,50,449,0,0
364,79,250,826,0
365,156,228,339,0
366,188,649,725,0
367,198,516,669,0
368,54,781,0,0
369,399,859,0,0
370,18,462,750,0
371,865,911,0,0
372,648,849,0,0
373,95,686,0,0
374,431,753,876,0
375,506,811,921,0
376,6,177,385,0
377,746,909,926,0
378,48,191,969,0
379,60,555,0,0
380,355,574,0,0
381,24,425,737,0
382,524,783,0,0
383,154,436,563,0
384,559,570,835,0
385,75,833,958,0
386,336,438,529,0
387,561,700,702,0
388,85,486,618,0
389,229,270,0,0
390,822,968,0,0
391,300,741,0,0
392,847,899,0,0
393,274,499,658,0
394,106,304,569,0
395,217,973,0,0
396,3,261,0,0
397,192,659,0,0
398,219,511,941,0
399,92,152,190,0
400,201,343,713,0
401,132,286,915,0
402,220,591,755,0
403,654,955,0,0
404,369,534,841,0
405,69,433,823,0
406,842,983,0,0
407,82,437,922,0
408,64,215,390,0
409,196,557,0,0
410,226,272,796,0
411,367,454,471,0
