n,col1,col2,col3,col4
1,7,865,0,0
2,10,255,0,0
3,13,666,0,0
4,16,360,810,0
5,17,47,0,0
6,19,872,0,0
7,20,468,0,0
8,21,711,0,0
9,28,24,0,0
10,29,61,0,0
11,33,2,249,0
12,34,212,115,0
13,36,977,0,0
14,38,670,0,0
15,45,249,482,0
16,46,169,0,0
17,48,54,0,0
18,49,781,0,0
19,51,542,0,0
20,55,697,0,0
21,58,99,0,0
22,59,78,806,0
23,64,87,0,0
24,65,757,0,0
25,66,638,79,0
26,72,565,0,0
27,73,636,0,0
28,81,42,0,0
29,93,743,0,0
30,94,885,0,0
31,96,662,115,0
32,97,209,916,0
33,107,841,0,0
34,109,537,771,0
35,117,871,721,0
36,119,619,916,0
37,122,700,0,0
38,123,887,0,0
39,126,221,0,0
40,127,695,0,0
41,128,990,377,0
42,131,78,721,0
43,135,176,0,0
44,137,969,721,0
45,139,998,0,0
46,157,351,0,0
47,158,437,0,0
48,164,972,0,0
49,165,89,0,0
50,166,488,0,0
51,170,325,0,0
52,181,82,0,0
53,190,707,79,0
54,191,620,0,0
55,192,717,0,0
56,194,35,0,0
57,195,230,0,0
58,198,382,431,0
59,203,531,408,0
60,205,90,916,0
61,207,602,0,0
62,217,238,115,0
63,224,182,0,0
64,226,252,132,0
65,232,228,806,0
66,233,877,0,0
67,240,379,0,0
68,241,828,0,0
69,242,470,0,0
70,253,490,0,0
71,254,329,0,0
72,258,108,721,0
73,260,548,0,0
74,261,200,0,0
75,262,878,0,0
76,264,215,0,0
77,265,304,0,0
78,266,280,0,0
79,268,309,0,0
80,273,508,0,0
81,274,539,810,0
82,275,259,0,0
83,278,557,0,0
84,285,56,118,0
85,287,571,0,0
86,288,816,0,0
87,289,485,0,0
88,290,206,835,0
89,293,815,0,0
90,294,327,0,0
91,295,31,0,0
92,296,676,699,0
93,299,551,916,0
94,300,742,0,0
95,302,213,0,0
96,307,428,0,0
97,308,755,0,0
98,312,298,806,0
99,316,514,705,0
100,318,419,0,0
101,319,211,563,0
102,326,9,675,0
103,330,103,0,0
104,334,497,0,0
105,335,361,0,0
106,337,366,0,0
107,338,463,0,0
108,339,801,0,0
109,340,811,0,0
110,346,386,180,0
111,363,596,0,0
112,368,863,916,0
113,385,526,0,0
114,393,683,0,0
115,395,371,0,0
116,396,654,0,0
117,398,22,705,0
118,399,440,130,0
119,400,565,155,0
120,403,251,0,0
121,405,140,0,0
122,410,353,0,0
123,413,634,2,0
124,416,625,0,0
125,418,601,721,0
126,420,900,118,0
127,421,600,776,0
128,423,888,0,0
129,427,336,0,0
130,429,604,0,0
131,430,331,0,0
132,431,917,803,0
133,439,85,0,0
134,442,247,0,0
135,444,737,0,0
136,445,610,810,0
137,452,359,0,0
138,457,263,0,0
139,460,603,0,0
140,461,879,0,0
141,473,584,0,0
142,475,751,465,0
143,477,800,0,0
144,479,53,0,0
145,481,591,0,0
146,483,111,705,0
147,486,775,0,0
148,491,518,0,0
149,498,724,699,0
150,499,456,0,0
151,502,511,0,0
152,504,941,699,0
153,505,236,0,0
154,506,728,0,0
155,510,860,84,0
156,512,596,0,0
157,520,375,469,0
158,521,83,0,0
159,523,80,0,0
160,528,50,0,0
161,530,681,892,0
162,538,500,916,0
163,544,564,0,0
164,549,141,0,0
165,552,348,0,0
166,553,305,0,0
167,566,303,84,0
168,574,252,0,0
169,575,705,806,0
170,576,853,359,0
171,577,15,0,0
172,580,375,228,0
173,582,689,699,0
174,583,961,0,0
175,586,501,67,0
176,587,112,432,0
177,590,44,976,0
178,594,113,0,0
179,595,102,806,0
180,609,388,0,0
181,611,740,0,0
182,615,317,228,0
183,616,130,806,0
184,621,313,79,0
185,623,960,0,0
186,624,9,120,0
187,626,451,115,0
188,629,555,0,0
189,630,297,0,0
190,635,693,0,0
191,639,727,0,0
192,640,898,190,0
193,644,596,705,0
194,645,729,354,0
195,646,929,0,0
196,648,71,0,0
197,651,688,0,0
198,653,784,0,0
199,655,370,0,0
200,658,861,249,0
201,660,448,0,0
202,661,60,0,0
203,663,749,249,0
204,668,713,810,0
205,680,228,286,0
206,685,11,0,0
207,690,819,0,0
208,694,394,467,0
209,703,519,0,0
210,709,837,0,0
211,712,272,0,0
212,715,812,0,0
213,718,488,0,0
214,732,214,0,0
215,741,145,0,0
216,745,846,0,0
217,747,490,0,0
218,758,380,0,0
219,759,478,0,0
220,760,332,0,0
221,761,383,0,0
222,763,838,0,0
223,769,315,0,0
224,770,402,0,0
225,772,592,0,0
226,779,75,0,0
227,780,136,0,0
228,786,824,0,0
229,791,713,375,0
230,795,347,0,0
231,796,243,585,0
232,798,762,805,0
233,807,378,0,0
234,818,384,0,0
235,820,643,120,0
236,822,77,115,0
237,825,235,414,0
238,827,271,0,0
239,831,375,130,0
240,843,612,0,0
241,848,174,0,0
242,849,474,0,0
243,852,884,350,0
244,854,384,810,0
245,855,774,0,0
246,856,144,0,0
247,857,723,0,0
248,859,369,0,0
249,862,748,514,0
250,866,171,705,0
251,867,364,0,0
252,869,992,0,0
253,870,466,0,0
254,873,333,0,0
255,875,153,705,0
256,876,160,0,0
257,893,167,0,0
258,895,847,0,0
259,897,463,776,0
260,899,39,0,0
261,901,189,115,0
262,903,228,689,0
263,911,710,0,0
264,913,409,0,0
265,914,223,0,0
266,921,5,0,0
267,923,500,78,0
268,925,225,482,0
269,931,704,0,0
270,935,823,0,0
271,936,672,0,0
272,937,851,0,0
273,942,922,367,0
274,947,671,0,0
275,949,607,0,0
276,951,832,0,0
277,952,349,14,0
278,953,70,0,0
279,955,697,0,0
280,957,341,0,0
281,963,438,0,0
282,966,389,0,0
283,967,163,0,0
284,968,708,0,0
285,973,101,0,0
286,975,52,705,0
287,981,134,0,0
288,982,291,0,0
289,987,446,84,0
290,993,401,210,0
291,997,529,0,0
292,756,793,950,0
293,25,40,62,0
294,149,536,813,0
295,106,397,647,0
296,328,534,948,0
297,151,187,559,0
298,62,415,522,0
299,797,904,956,0
300,125,674,1000,0
301,26,628,927,0
302,121,220,567,0
303,3,143,777,0
304,98,213,355,0
305,187,222,256,0
306,257,496,618,0
307,63,204,980,0
308,197,840,858,0
309,794,962,978,0
310,105,110,0,0
311,547,572,919,0
312,422,829,833,0
313,357,790,954,0
314,606,926,0,0
315,244,425,924,0
316,453,944,991,0
317,301,754,945,0
318,561,569,613,0
319,188,321,971,0
320,6,677,790,0
321,18,175,817,0
322,411,503,882,0
323,173,589,894,0
324,515,532,556,0
325,283,614,943,0
326,159,633,768,0
327,269,558,684,0
328,381,581,730,0
329,281,365,118,0
330,540,834,394,0
331,185,246,0,0
332,391,826,0,0
333,23,322,0,0
334,343,589,608,0
335,750,830,988,0
336,239,994,976,0
337,374,546,746,0
338,424,787,0,0
339,649,679,598,0
340,124,177,431,0
341,562,579,433,0
342,462,494,0,0
343,933,986,84,0
344,41,178,493,0
345,725,938,115,0
346,426,764,785,0
347,362,845,965,0
348,323,687,806,0
349,726,979,699,0
350,235,373,915,0
351,637,814,943,0
352,627,844,0,0
353,525,535,916,0
354,27,168,0,0
355,148,231,656,0
356,751,809,996,0
357,179,751,789,0
358,152,183,699,0
359,12,716,773,0
360,434,934,0,0
361,484,902,721,0
362,311,476,0,0
363,116,650,0,0
364,412,578,0,0
365,133,138,0,0
366,407,667,691,0
367,57,216,839,0
368,471,731,115,0
369,696,905,958,0
370,622,719,0,0
371,435,441,0,0
372,92,733,0,0
373,489,543,806,0
374,344,874,0,0
375,234,509,0,0
376,142,277,0,0
377,267,459,0,0
378,154,641,0,0
379,279,492,940,0
380,891,946,0,0
381,37,358,517,0
382,129,156,0,0
383,146,250,0,0
384,588,657,896,0
385,1,527,0,0
386,669,995,0,0
387,284,778,0,0
388,184,597,0,0
389,472,545,744,0
390,306,714,0,0
391,147,487,0,0
392,450,889,0,0
393,8,516,767,0
394,88,524,0,0
395,593,632,910,0
396,69,570,0,0
397,513,682,0,0
398,91,533,928,0
399,765,970,0,0
400,454,734,792,0
401,86,447,0,0
402,172,959,0,0
403,193,464,0,0
404,218,890,0,0
405,387,912,0,0
406,208,248,0,0
407,196,229,0,0
408,573,739,0,0
409,202,880,985,0
410,352,802,0,0
411,162,983,0,0
412,406,631,0,0
413,455,821,0,0
414,390,702,788,0
415,4,842,0,0
416,227,886,0,0
417,186,753,920,0
418,30,342,0,0
419,114,161,964,0
420,100,320,0,0
421,95,270,0,0
422,541,804,0,0
423,245,356,752,0
424,495,999,0,0
425,276,808,918,0
426,43,76,0,0
427,292,560,0,0
428,314,665,909,0
429,673,678,0,0
430,404,568,0,0
431,376,984,0,0
432,310,722,0,0
433,554,907,0,0
434,150,507,939,0
435,324,881,0,0
436,436,883,906,0
437,104,480,736,0
438,199,692,0,0
439,458,605,642,0
440,372,659,0,0
441,449,720,0,0
442,74,735,0,0
443,417,599,0,0
444,766,782,0,0
445,932,974,989,0
446,201,282,392,0
447,443,701,799,0
448,698,836,0,0
449,219,237,783,0
450,864,908,0,0
451,664,686,0,0
452,345,850,0,0
453,32,738,0,0
454,550,617,868,0
455,68,930,0,0
456,652,706,0,0
