n,col1,col2,col3,col4
319,310,511,0,0
320,118,412,441,0
321,36,874,0,0
322,739,893,0,0
323,213,523,811,0
324,40,48,618,0
325,240,348,0,0
326,52,203,317,0
327,220,690,981,0
328,372,417,0,0
329,61,109,573,0
330,111,548,617,0
331,722,858,1000,0
332,80,234,249,0
333,23,368,0,0
334,224,616,0,0
335,2,209,677,0
336,547,550,896,0
337,206,426,627,0
338,437,536,558,0
339,160,199,0,0
340,144,712,0,0
341,334,421,0,0
342,196,770,0,0
343,298,430,493,0
344,854,992,0,0
345,122,134,0,0
346,174,326,346,0
347,139,515,0,0
348,73,156,596,0
349,7,145,601,0
350,112,347,460,0
351,226,279,950,0
352,651,670,0,0
353,358,365,416,0
354,90,157,215,0
355,175,419,711,0
356,252,428,498,0
357,438,626,986,0
358,520,549,0,0
359,320,390,567,0
360,219,436,471,0
361,207,504,0,0
362,91,466,482,0
363,343,641,892,0
364,121,411,653,0
365,291,534,830,0
366,14,737,833,0
367,12,297,463,0
368,233,710,945,0
369,89,386,610,0
370,150,771,910,0
371,126,456,0,0
372,420,608,613,0
373,135,508,0,0
374,189,583,588,0
375,1,6,190,0
376,446,490,633,0
377,311,721,753,0
378,159,236,750,0
379,510,600,958,0
380,345,487,922,0
381,177,245,392,0
382,363,744,0,0
383,409,729,979,0
384,284,696,806,0
385,198,516,669,0
386,151,288,589,0
387,443,982,0,0
388,24,108,713,0
389,275,645,0,0
390,197,459,514,0
391,75,98,163,0
392,635,796,871,0
393,571,650,916,0
394,760,991,0,0
395,445,726,916,0
396,64,716,878,0
397,62,239,388,0
398,76,870,0,0
399,273,330,0,0
400,222,458,774,0
401,341,800,826,0
402,148,278,938,0
403,268,831,0,0
404,296,749,834,0
405,45,646,0,0
406,734,756,891,0
407,104,480,736,0
408,265,606,0,0
