n,col1,col2,col3,col4
1,13,44,0,0
2,22,705,892,0
3,47,184,0,0
4,54,208,0,0
5,65,632,705,0
6,67,323,239,0
7,76,869,0,0
8,82,509,0,0
9,95,674,810,0
10,100,680,0,0
11,107,906,0,0
12,116,918,0,0
13,145,957,0,0
14,149,59,0,0
15,176,825,346,0
16,192,277,0,0
17,195,755,806,0
18,238,262,0,0
19,242,252,67,0
20,273,999,0,0
21,313,218,751,0
22,327,862,0,0
23,328,43,115,0
24,329,16,0,0
25,337,788,0,0
26,376,706,0,0
27,388,951,0,0
28,401,410,721,0
29,405,745,0,0
30,407,356,860,0
31,411,805,0,0
32,449,686,0,0
33,457,595,0,0
34,459,283,969,0
35,474,443,0,0
36,479,75,0,0
37,483,568,0,0
38,487,144,0,0
39,494,800,839,0
40,527,870,0,0
41,529,413,0,0
42,531,855,0,0
43,540,935,298,0
44,548,534,304,0
45,555,817,0,0
46,557,336,0,0
47,570,63,360,0
48,579,267,0,0
49,583,24,354,0
50,592,780,0,0
51,599,650,0,0
52,604,563,0,0
53,612,18,299,0
54,620,117,0,0
55,622,199,0,0
56,631,147,0,0
57,634,703,916,0
58,638,845,0,0
59,644,785,0,0
60,648,97,0,0
61,660,217,0,0
62,668,201,0,0
63,669,510,0,0
64,679,728,0,0
65,682,842,0,0
66,688,914,0,0
67,694,35,0,0
68,700,580,0,0
69,727,414,0,0
70,733,928,565,0
71,735,565,112,0
72,747,224,0,0
73,772,934,0,0
74,790,246,607,0
75,795,661,0,0
76,796,264,556,0
77,801,229,0,0
78,828,331,0,0
79,843,136,0,0
80,846,181,0,0
81,847,502,228,0
82,852,755,498,0
83,854,39,0,0
84,895,50,0,0
85,899,606,0,0
86,908,656,0,0
87,921,135,0,0
88,937,832,0,0
89,945,70,385,0
90,947,225,0,0
91,960,139,0,0
92,970,158,0,0
93,61,132,601,559
94,419,468,658,0
95,326,813,990,0
96,174,178,282,0
97,40,106,361,0
98,37,927,965,0
99,148,374,381,0
100,6,809,824,0
101,301,366,409,0
102,119,256,386,0
103,605,758,799,0
104,191,269,516,0
105,617,655,980,0
106,90,207,210,0
107,283,523,1000,0
108,121,665,840,0
109,384,561,876,0
110,108,259,904,0
111,210,247,763,0
112,835,919,998,0
113,233,515,516,0
114,98,151,748,0
115,173,390,798,0
116,398,416,773,0
117,61,91,898,0
118,123,202,978,0
119,19,92,0,0
120,204,213,496,0
121,153,347,588,0
122,133,138,0,0
123,157,736,768,0
124,286,905,991,0
125,105,223,699,0
126,607,833,856,0
127,279,293,894,0
128,365,370,155,0
129,439,853,926,0
130,187,522,841,0
131,231,562,618,0
132,272,415,608,0
133,422,569,649,0
134,480,671,687,0
135,332,521,851,0
136,725,924,776,0
137,152,287,375,0
138,9,726,964,0
139,215,572,925,0
140,51,194,0,0
141,446,536,996,0
142,430,657,915,0
143,560,958,974,0
144,176,742,792,0
145,7,793,993,0
146,1,4,0,0
147,41,197,429,0
148,48,234,0,0
149,154,240,0,0
150,78,484,756,0
151,546,764,794,0
152,458,667,941,0
153,466,492,0,0
154,475,994,79,0
155,310,371,0,0
156,180,711,907,0
157,441,482,490,0
158,543,933,249,0
159,445,704,0,0
160,307,629,0,0
161,60,591,0,0
162,640,936,976,0
163,476,670,0,0
164,889,979,0,0
165,42,506,600,0
166,350,610,715,0
167,77,180,995,0
168,49,183,0,0
169,802,815,0,0
170,168,807,0,0
171,351,871,0,0
172,594,744,0,0
173,69,497,0,0
174,573,672,0,0
175,732,765,0,0
176,251,912,0,0
177,460,816,0,0
178,196,946,0,0
179,352,450,0,0
180,129,495,0,0
181,513,766,0,0
182,270,464,0,0
183,524,864,0,0
184,781,893,0,0
185,741,959,0,0
186,86,693,0,0
187,380,673,0,0
188,503,701,850,0
189,803,830,902,0
190,162,720,0,0
191,723,911,0,0
192,541,865,0,0
193,838,929,0,0
194,146,485,0,0
195,455,821,0,0
196,392,581,664,0
197,717,984,0,0
198,227,886,0,0
199,849,955,0,0
200,193,868,0,0
201,343,770,0,0
202,342,961,0,0
203,306,613,950,0
204,46,539,0,0
205,38,804,0,0
206,396,873,0,0
207,315,451,713,0
208,250,625,0,0
209,289,566,0,0
210,836,890,0,0
211,654,861,0,0
212,55,83,0,0
213,219,428,675,0
214,254,659,0,0
215,448,491,514,0
216,447,782,0,0
217,248,549,0,0
218,241,558,863,0
219,280,389,0,0
