n,col1,col2,col3,col4
220,367,535,891,0
221,263,910,0,0
222,316,614,0,0
223,520,611,0,0
224,358,471,641,0
225,161,235,253,0
226,364,393,0,0
227,461,633,0,0
228,188,517,642,0
229,30,308,0,0
230,440,469,533,0
231,590,923,0,0
232,537,621,0,0
233,630,678,0,0
234,652,992,0,0
235,340,585,729,0
236,10,102,140,0
237,302,738,0,0
238,101,182,314,0
239,230,888,0,0
240,901,930,0,0
241,12,222,710,0
242,142,987,0,0
243,305,967,0,0
244,437,519,885,0
245,432,626,647,0
246,786,997,0,0
247,335,759,0,0
248,438,691,897,0
249,695,859,0,0
250,34,109,494,0
251,23,368,0,0
252,5,17,0,0
253,33,827,0,0
254,330,812,0,0
255,292,887,0,0
256,400,692,0,0
257,80,318,0,0
258,518,538,0,0
259,372,478,0,0
260,14,787,882,0
261,379,769,0,0
262,320,547,920,0
263,444,737,0,0
264,587,683,0,0
265,58,94,0,0
266,120,714,900,0
267,36,462,0,0
268,344,348,0,0
269,734,826,872,0
270,212,334,0,0
271,784,966,0,0
272,666,722,777,0
273,378,866,0,0
274,81,526,0,0
275,290,822,0,0
276,760,985,0,0
277,399,719,0,0
278,186,243,258,0
279,712,752,0,0
280,205,698,0,0
281,387,635,662,0
282,56,216,0,0
283,118,808,818,0
284,31,295,0,0
285,221,325,0,0
286,403,707,0,0
287,175,312,0,0
288,877,952,0,0
289,126,418,0,0
290,20,681,0,0
291,436,545,730,0
292,602,931,0,0
293,11,275,0,0
294,627,875,0,0
295,84,395,823,0
296,473,761,0,0
297,408,501,511,0
298,45,646,0,0
299,66,530,567,0
300,260,507,0,0
301,499,982,0,0
302,64,623,0,0
303,909,973,0,0
304,281,689,988,0
305,28,297,0,0
306,452,628,0,0
307,353,616,0,0
308,505,544,0,0
309,775,948,0,0
310,333,820,0,0
311,355,848,0,0
312,421,571,0,0
313,163,261,0,0
314,268,309,0,0
315,913,971,0,0
316,470,867,0,0
317,636,880,0,0
318,237,525,944,0
319,21,114,0,0
320,456,551,0,0
321,311,917,0,0
322,93,819,0,0
323,72,426,0,0
324,291,831,0,0
325,164,397,0,0
326,609,884,0,0
327,141,143,425,0
328,574,954,0,0
329,214,300,359,0
330,377,932,940,0
331,338,837,0,0
332,166,528,0,0
333,122,369,0,0
334,663,677,808,0
335,68,874,0,0
336,265,321,0,0
337,29,811,0,0
338,170,206,285,0
339,169,423,0,0
340,477,552,0,0
341,124,288,317,0
342,111,486,596,0
343,718,797,0,0
344,676,757,0,0
345,127,685,0,0
346,99,597,0,0
347,113,488,879,0
348,128,167,189,0
349,383,645,0,0
350,493,615,0,0
351,963,977,0,0
352,564,739,762,0
353,85,130,420,0
354,575,653,0,0
355,57,639,778,0
356,512,684,0,0
357,73,303,774,0
358,508,702,972,0
359,232,357,0,0
360,26,949,0,0
361,131,690,0,0
362,134,553,0,0
363,542,709,0,0
364,62,209,220,0
365,255,586,0,0
366,137,276,0,0
367,394,427,829,0
368,554,968,0,0
369,296,750,783,0
370,412,789,922,0
371,500,577,578,0
372,185,671,724,0
373,71,504,0,0
374,481,651,0,0
375,179,373,962,0
376,96,424,0,0
377,87,339,467,0
378,160,417,0,0
379,171,172,245,0
380,532,576,0,0
381,74,981,0,0
382,156,721,749,0
383,110,624,0,0
384,550,637,731,0
385,362,834,858,0
386,244,431,489,0
387,190,211,284,0
388,3,349,716,0
389,271,743,0,0
390,324,881,0,0
391,2,226,257,0
392,266,903,0,0
393,382,463,989,0
394,274,434,453,0
395,15,27,0,0
396,345,593,986,0
397,589,696,883,0
398,433,814,896,0
399,52,177,367,0
400,200,294,943,0
401,319,878,956,0
402,584,603,771,0
403,322,472,643,0
404,32,767,0,0
405,89,150,697,0
406,442,708,0,0
407,278,746,753,0
408,53,103,465,0
409,25,779,0,0
410,791,938,0,0
411,363,404,0,0
412,236,354,402,0
413,454,740,754,0
414,582,844,0,0
415,8,391,975,0
416,857,942,0,0
417,598,939,953,0
418,406,983,0,0
419,159,198,435,0
420,125,165,0,0
421,88,619,0,0
422,104,203,341,0
